Event_type,Issued_time,Country,Areas,Regions,Date
Severe Thunderstorm Warning issued September 16 at 7:27PM CDT until September 16 at 8:00PM CDT by NWS NorthPlatteSevere Thunderstorm Warning,27 minutes ago,United States of America,Deuel; Keith; Perkins,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Special Weather Statement issued September 16 at 6:26PM MDT  by NWS RapidCitySpecial Weather Statement,28 minutes ago,United States of America,Todd; Tripp,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Lukou District,Region II - Asia,2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Shifeng District,Region II - Asia,2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Lusong District,Region II - Asia,2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Tianyuan District,Region II - Asia,2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Hetang District,Region II - Asia,2022-09-17 03:24
Yanling County Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Yanling County,Region II - Asia,2022-09-17 03:24
Chaling County Meteorological Bureau issued a yellow high temperature warning [Level III/severe]high temperature,28 minutes ago,China,Chaling County,Region II - Asia,2022-09-17 03:24
Zhuzhou Meteorological Bureau issued a yellow high temperature warning [Grade III/severe]high temperature,28 minutes ago,China,Yunlong Demonstration District,Region II - Asia,2022-09-17 03:24
Liling Meteorological Bureau issued a yellow high temperature warning [Grade III/relatively serious]high temperature,28 minutes ago,China,Liling City,Region II - Asia,2022-09-17 03:24
You County Meteorological Bureau issued a yellow high temperature warning [Level III/severe]high temperature,28 minutes ago,China,Youxian,Region II - Asia,2022-09-17 03:24
"Major Flood Warning for Namoi River, Namoi River at Gunnedah, Namoi River at Boggabri, Narrabri Creek at Narrabri, Namoi River at Wee Waa (Glencoe), Namoi River at Bugilbone and Namoi River at GoangraRiverine Flood",28 minutes ago,Australia,"New South Wales: Namoi River, Namoi River at Gunnedah, Namoi River at Boggabri, Narrabri Creek at Narrabri, Namoi River at Wee Waa (Glencoe), Namoi River at Bugilbone and Namoi River at Goangra...",Region V - South West Pacific,2022-09-17 03:24
Minor Flood Warning for Peel River and Peel River at Tamworth Road BridgeRiverine Flood,28 minutes ago,Australia,New South Wales: Peel River and Peel River at Tamworth Road Bridge...,Region V - South West Pacific,2022-09-17 03:24
Xunwu Meteorological Station issued orange drought warning [Level II/serious]drought,34 minutes ago,China,Xunwu County,Region II - Asia,2022-09-17 03:24
Severe Thunderstorm Watch issued September 16 at 7:19PM CDT until September 17 at 1:00AM CDT by NWS Storm Prediction CenterSevere Thunderstorm Watch,35 minutes ago,United States of America,Blaine; Boyd; Brown; Custer; Dawson; Garfield; Greeley; Holt; Howard; Keya Paha; Lincoln; Logan; Loup; Rock; Sherman; Valley; Wheeler...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Flood Advisory issued September 16 at 2:18PM HST  by NWS HonoluluFlood Advisory,36 minutes ago,United States of America,Oahu in Honolulu,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
frost advisory in effectfrost,38 minutes ago,Canada,Edmundston and Madawaska County; western half of Restigouche County; Grand Falls and Victoria County; Mount Carleton - Renous Highway...,"Region IV - North America, Central America and the Caribbean",2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Kemerovo Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Tuva Republic,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
Other dangersOther dangers,38 minutes ago,Russian Federation,Rostov Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
RainRain,38 minutes ago,Russian Federation,Center of Sakha Republic,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Republic of Khakassia,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Altai Krai,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ThunderstormsThunderstorms,38 minutes ago,Russian Federation,Astrakhan Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Zabaykalsky Krai,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
WindWind,38 minutes ago,Russian Federation,Moscow Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
RainRain,38 minutes ago,Russian Federation,South of Khabarovsk Krai,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
FogFog,38 minutes ago,Russian Federation,Rostov Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
RainRain,38 minutes ago,Russian Federation,Zabaykalsky Krai,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
RainRain,38 minutes ago,Russian Federation,Yaroslavl Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
ForestfireForestfire,38 minutes ago,Russian Federation,Kirov Region,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
Other dangersOther dangers,38 minutes ago,Russian Federation,Republic of Kalmykia,Region II - AsiaRegion VI - Europe,2022-09-17 03:24
